,latitude,longitude,status,angle,fuel,weight,velocity,imei,date_created
0,-3.935822,-38.720692,Parado,0.000000,1.0,-1.0,0.055593,25.0,2021-08-10 00:00:33
1,-3.935839,-38.720695,Parado,0.000000,1.0,-1.0,0.197664,25.0,2021-08-10 00:00:46
2,-3.935834,-38.720665,Parado,0.000000,1.0,-1.0,0.479747,25.0,2021-08-10 00:10:27
3,-3.935822,-38.720665,Parado,0.000000,1.0,-1.0,0.214136,25.0,2021-08-10 00:12:13
4,-3.935785,-38.720665,Parado,0.000000,1.0,-1.0,0.319145,25.0,2021-08-10 00:16:17
5,-3.935779,-38.720654,Parado,0.000000,1.0,-1.0,0.249139,25.0,2021-08-10 00:16:44
6,-3.935804,-38.720661,Parado,0.000000,1.0,-1.0,0.903901,25.0,2021-08-10 00:17:23
7,-3.935820,-38.720665,Parado,0.000000,1.0,-1.0,0.107068,25.0,2021-08-10 00:17:56
8,-3.935844,-38.720680,Parado,0.000000,1.0,-1.0,0.323263,25.0,2021-08-10 00:19:59
9,-3.935823,-38.720692,Parado,0.000000,1.0,-1.0,0.078242,25.0,2021-08-10 00:22:00
10,-3.935846,-38.720699,Parado,0.000000,1.0,-1.0,0.374738,25.0,2021-08-10 00:24:54
11,-3.935846,-38.720703,Parado,0.000000,1.0,-1.0,0.492101,25.0,2021-08-10 00:25:10
12,-3.935830,-38.720699,Parado,0.000000,1.0,-1.0,0.280024,25.0,2021-08-10 00:25:41
13,-3.935847,-38.720692,Parado,0.000000,1.0,-1.0,0.35003,25.0,2021-08-10 00:26:44
14,-3.935903,-38.720695,Parado,0.000000,1.0,-1.0,1.169512,25.0,2021-08-10 00:27:05
15,-3.935841,-38.720669,Parado,0.000000,1.0,-1.0,0.881252,25.0,2021-08-10 00:02:14
16,-3.935848,-38.720676,Parado,0.000000,1.0,-1.0,0.74124,25.0,2021-08-10 00:02:21
17,-3.935837,-38.720680,Parado,0.000000,1.0,-1.0,0.512691,25.0,2021-08-10 00:02:53
18,-3.935861,-38.720707,Parado,0.000000,1.0,-1.0,0.191487,25.0,2021-08-10 00:30:07
19,-3.935874,-38.720707,Parado,0.000000,1.0,-1.0,0.214136,25.0,2021-08-10 00:31:38
20,-3.935829,-38.720707,Parado,0.000000,1.0,-1.0,0.376797,25.0,2021-08-10 00:33:20
21,-3.935852,-38.720692,Parado,0.000000,1.0,-1.0,0.294437,25.0,2021-08-10 00:34:23
22,-3.935857,-38.720692,Parado,0.000000,0.0,-1.0,0.183251,25.0,2021-08-10 00:34:44
23,-3.935875,-38.720703,Parado,0.000000,1.0,-1.0,1.083034,25.0,2021-08-10 00:35:27
24,-3.935854,-38.720703,Parado,0.000000,1.0,-1.0,0.228549,25.0,2021-08-10 00:35:05
25,-3.935874,-38.720684,Parado,0.000000,1.0,-1.0,0.055593,25.0,2021-08-10 00:37:39
26,-3.935828,-38.720688,Parado,0.000000,1.0,-1.0,1.177748,25.0,2021-08-10 00:03:14
27,-3.935821,-38.720680,Parado,0.000000,1.0,-1.0,0.455039,25.0,2021-08-10 00:03:25
28,-3.935865,-38.720676,Parado,0.000000,1.0,-1.0,0.224431,25.0,2021-08-10 00:40:59
29,-3.935839,-38.720680,Parado,0.000000,1.0,-1.0,0.856544,25.0,2021-08-10 00:41:41
30,-3.935868,-38.720684,Parado,0.000000,1.0,-1.0,0.485924,25.0,2021-08-10 00:42:10
31,-3.935907,-38.720688,Parado,0.000000,1.0,-1.0,0.084419,25.0,2021-08-10 00:42:25
32,-3.935948,-38.720715,Parado,0.000000,1.0,-1.0,0.150307,25.0,2021-08-10 00:43:12
33,-3.935869,-38.720692,Parado,0.000000,1.0,-1.0,0.448862,25.0,2021-08-10 00:44:16
