,latitude,longitude,status,angle,fuel,weight,velocity,imei,date_created
77,-3.944101,-38.718861,Parado,12.627673,85,0,3.076146,24,2021-08-18 06:26:42
78,-3.944002,-38.718838,Parado,12.525615,76,0,2.829066,24,2021-08-18 06:26:53
0,-3.944049,-38.718803,Parado,12.53605,99,0,2.84142,24,2021-08-18 06:27:23
1,-3.944051,-38.718803,Parado,12.502204,98,0,0.18531,24,2021-08-18 06:27:28
2,-3.944095,-38.718803,Parado,12.584122,99,0,1.828392,24,2021-08-18 06:27:53
3,-3.944048,-38.718815,Parado,12.691963,98,0,0.253257,24,2021-08-18 06:28:19
4,-3.944055,-38.718807,Parado,10.790939,98,0,0.722709,24,2021-08-18 06:29:28
5,-3.944021,-38.718769,Parado,10.779538,99,0,0.448862,24,2021-08-18 06:30:22
6,-3.944056,-38.718872,Parado,10.953583,100,0,0.140012,24,2021-08-18 06:31:58
0,-3.944103,-38.718884,Parado,4.752248,61,-1,0.440626,25,2021-08-18 06:32:48
1,-3.94411,-38.718887,Parado,4.758996,65,-1,0.660939,25,2021-08-18 06:32:53
2,-3.94412,-38.718906,Parado,4.793818,67,-1,0.403564,25,2021-08-18 06:32:58
8,-3.944128,-38.71891,Parado,4.601686,68,-1,0.504455,25,2021-08-18 06:33:03
9,-3.944101,-38.718876,Parado,-42.097485,98,0,2.713762,24,2021-08-18 06:33:07
13,-3.944127,-38.71891,Parado,4.762311,69,-1,0.105009,25,2021-08-18 06:33:09
3,-3.944126,-38.718906,Parado,4.719918,69,-1,0.047357,25,2021-08-18 06:33:14
4,-3.944124,-38.718906,Parado,4.520452,69,-1,0.228549,25,2021-08-18 06:33:19
7,-3.944086,-38.718838,Parado,-57.087883,99,0,0.459157,24,2021-08-18 06:33:22
5,-3.944121,-38.718906,Parado,4.747204,70,-1,0.189428,25,2021-08-18 06:33:24
8,-3.944089,-38.718819,Parado,-51.758919,98,0,1.330114,24,2021-08-18 06:33:27
6,-3.944121,-38.718906,Parado,4.739644,70,-1,0.113245,25,2021-08-18 06:33:29
