,latitude,longitude,status,angle,fuel,weight,velocity,imei,date_created
7468,-3.936091,-38.720116,Parado,-4.63897,76.0,-1.0,0.582697,25.0,2021-08-06 12:14:23
7469,-3.936101,-38.720116,Parado,-4.631237,68.0,-1.0,1.562781,25.0,2021-08-06 12:14:33
7470,-3.936107,-38.720127,Parado,-4.697169,64.0,-1.0,0.325322,25.0,2021-08-06 12:14:38
7472,-3.935979,-38.72076,Parado,-4.702068,80.0,-1.0,0.181192,25.0,2021-08-06 12:14:49
7474,-3.93599,-38.720737,Parado,-4.733698,78.0,-1.0,0.181192,25.0,2021-08-06 12:14:59
7482,-3.935976,-38.72076,Parado,-4.553678,68.0,-1.0,0.22649,25.0,2021-08-06 12:15:05
7475,-3.935965,-38.720779,Parado,-4.631251,66.0,-1.0,0.897724,25.0,2021-08-06 12:15:10
7476,-3.935959,-38.720798,Parado,-4.691336,58.0,-1.0,0.135894,25.0,2021-08-06 12:15:15
7477,-3.935958,-38.72081,Parado,-4.840535,60.0,-1.0,0.292378,25.0,2021-08-06 12:15:25
7478,-3.935955,-38.720818,Parado,-4.755921,60.0,-1.0,0.127658,25.0,2021-08-06 12:15:31
7479,-3.935953,-38.720829,Parado,-4.724294,68.0,-1.0,0.646526,25.0,2021-08-06 12:15:36
7480,-3.935941,-38.72084,Parado,-4.752441,76.0,-1.0,0.277965,25.0,2021-08-06 12:15:41
7481,-3.935957,-38.720825,Parado,-4.668759,70.0,-1.0,0.667116,25.0,2021-08-06 12:15:46
7483,-3.935961,-38.720825,Parado,-4.69314,82.0,-1.0,0.255316,25.0,2021-08-06 12:15:51
7484,-3.935961,-38.720825,Parado,-4.773114,74.0,-1.0,0.59711,25.0,2021-08-06 12:15:57
7487,-3.936054,-38.720695,Parado,-4.703934,70.0,-1.0,0.586815,25.0,2021-08-06 12:16:02
7495,-3.936121,-38.720604,Parado,-4.749177,80.0,-1.0,0.210018,25.0,2021-08-06 12:16:07
7485,-3.9361,-38.720631,Parado,-4.799579,84.0,-1.0,0.553871,25.0,2021-08-06 12:16:12
7486,-3.936097,-38.720638,Parado,-4.745975,80.0,-1.0,1.608079,25.0,2021-08-06 12:16:17
7488,-3.936068,-38.720676,Parado,-4.672369,76.0,-1.0,0.428272,25.0,2021-08-06 12:16:23
7489,-3.936052,-38.720692,Parado,-4.651302,70.0,-1.0,1.041854,25.0,2021-08-06 12:16:28
7490,-3.936045,-38.720703,Parado,-4.674227,74.0,-1.0,0.14413,25.0,2021-08-06 12:16:33
7491,-3.936029,-38.72073,Parado,-4.663937,74.0,-1.0,1.719265,25.0,2021-08-06 12:16:43
