,latitude,longitude,status,angle,fuel,weight,velocity,imei,date_created
97,-3.936479,-38.724171,Parado,10.64842,87,0,3.522949,24,2021-08-05 21:43:37
98,-3.936486,-38.724205,Parado,10.499152,87,0,0.86478,24,2021-08-05 21:43:42
99,-3.936471,-38.724201,Parado,10.594008,88,0,1.515424,24,2021-08-05 21:43:45
100,-3.936444,-38.724163,Parado,10.486401,87,0,4.072702,24,2021-08-05 21:43:50
101,-3.934936,-38.722416,Parado,10.034171,86,0,0.98832,24,2021-08-05 21:44:49
102,-3.93492,-38.722317,Movimento,10.125184,87,0,7.591533,24,2021-08-05 21:44:52
103,-3.934986,-38.722286,Parado,9.98082,88,0,0.652703,24,2021-08-05 21:44:57
104,-3.935011,-38.722256,Parado,10.083798,89,0,0.096773,24,2021-08-05 21:45:08
105,-3.93502,-38.722225,Parado,10.049982,87,0,1.165394,24,2021-08-05 21:45:19
106,-3.93503,-38.722244,Parado,9.989778,88,0,0.224431,24,2021-08-05 21:45:30
107,-3.935042,-38.722279,Parado,10.123096,86,0,0.527104,24,2021-08-05 21:45:38
108,-3.935049,-38.722237,Parado,10.077703,89,0,0.914196,24,2021-08-05 21:45:49
109,-3.935054,-38.722336,Parado,10.174125,89,0,0.621818,24,2021-08-05 21:45:57
117,-3.935058,-38.72234,Parado,9.988958,88,0,0.704178,24,2021-08-05 21:46:03
110,-3.935071,-38.72234,Parado,10.137641,89,0,0.115304,24,2021-08-05 21:46:08
111,-3.935096,-38.72237,Parado,10.12524,87,0,0.469452,24,2021-08-05 21:46:14
112,-3.935111,-38.722393,Parado,9.998808,88,0,0.586815,24,2021-08-05 21:46:19
113,-3.935111,-38.722393,Parado,10.125719,86,0,1.060385,24,2021-08-05 21:46:22
114,-3.935111,-38.722397,Parado,9.902836,87,0,0.06177,24,2021-08-05 21:46:28
115,-3.935111,-38.722385,Parado,10.118514,88,0,0.30885,24,2021-08-05 21:46:33
116,-3.935112,-38.722389,Parado,9.921289,89,0,0.154425,24,2021-08-05 21:46:39
118,-3.935121,-38.722454,Parado,9.985749,86,0,1.548368,24,2021-08-05 21:46:49
119,-3.935111,-38.722439,Parado,10.138965,89,0,0.625936,24,2021-08-05 21:46:58
120,-3.935112,-38.722389,Parado,9.978894,88,0,0.860662,24,2021-08-05 21:47:09
121,-3.935112,-38.72237,Parado,10.065062,87,0,0.537399,24,2021-08-05 21:47:14
122,-3.935111,-38.72234,Parado,10.133037,87,0,1.354822,24,2021-08-05 21:47:19
123,-3.935104,-38.722263,Parado,9.983401,87,0,2.662287,24,2021-08-05 21:47:22
124,-3.935092,-38.722149,Parado,10.057074,86,0,2.433738,24,2021-08-05 21:47:28
125,-3.935121,-38.72216,Parado,9.969721,86,0,1.404238,24,2021-08-05 21:47:53
126,-3.935117,-38.722179,Parado,10.028107,87,0,2.86201,24,2021-08-05 21:47:56
127,-3.935103,-38.72221,Parado,10.109876,89,0,0.516809,24,2021-08-05 21:48:15
128,-3.9351,-38.722252,Parado,9.964551,87,0,0.490042,24,2021-08-05 21:48:23
129,-3.935101,-38.722275,Parado,9.717174,88,0,0.496219,24,2021-08-05 21:48:34
130,-3.935097,-38.722244,Parado,10.025124,89,0,1.216869,24,2021-08-05 21:48:40
131,-3.935098,-38.722229,Parado,10.025053,89,0,0.455039,24,2021-08-05 21:48:45
132,-3.935099,-38.722195,Parado,9.730538,89,0,1.2354,24,2021-08-05 21:48:48
133,-3.935217,-38.722507,Movimento,9.733683,88,0,10.540021,24,2021-08-05 21:48:54
134,-3.935181,-38.722549,Movimento,9.636262,88,0,5.901094,24,2021-08-05 21:48:59
138,-3.935156,-38.722546,Parado,9.757401,89,0,3.310872,24,2021-08-05 21:49:05
135,-3.935112,-38.722378,Parado,9.551558,88,0,0.327381,24,2021-08-05 21:49:34
136,-3.935126,-38.722527,Carregando,9.913204,88,3750,4.616278,24,2021-08-05 21:49:45
137,-3.935143,-38.722649,Carregando,9.627199,87,3750,4.9416,24,2021-08-05 21:49:55
144,-3.935133,-38.722607,Carregando,9.581841,87,3750,2.190776,24,2021-08-05 21:50:04
139,-3.935129,-38.722603,Carregando,9.890698,89,3750,3.378819,24,2021-08-05 21:50:09
140,-3.935102,-38.722424,Carregando,9.712029,88,3750,3.174978,24,2021-08-05 21:50:15
141,-3.935024,-38.721905,Parado,9.759896,88,0,4.554508,24,2021-08-05 21:50:36
142,-3.935027,-38.721958,Parado,9.746934,88,0,2.336965,24,2021-08-05 21:50:41
143,-3.935031,-38.721985,Parado,9.777708,88,0,1.325996,24,2021-08-05 21:50:47
145,-3.935038,-38.722126,Parado,9.857386,87,0,0.920373,24,2021-08-05 21:51:29
146,-3.935038,-38.722145,Parado,9.731302,87,0,0.327381,24,2021-08-05 21:51:34
147,-3.935037,-38.722145,Parado,9.626985,88,0,0.187369,24,2021-08-05 21:51:40
148,-3.935035,-38.722248,Parado,9.733366,86,0,4.696579,24,2021-08-05 21:52:00
149,-3.935026,-38.722229,Parado,9.459435,89,0,0.492101,24,2021-08-05 21:52:27
150,-3.935021,-38.72221,Parado,9.863625,88,0,1.159217,24,2021-08-05 21:52:30
151,-3.935039,-38.722179,Parado,9.805117,86,0,1.083034,24,2021-08-05 21:52:36
152,-3.93504,-38.722176,Parado,9.781554,88,0,0.265611,24,2021-08-05 21:52:41
153,-3.935036,-38.722153,Parado,9.769422,89,0,0.70006,24,2021-08-05 21:52:46
154,-3.935037,-38.722149,Parado,9.643086,87,0,0.296496,24,2021-08-05 21:53:00
155,-3.935035,-38.722164,Parado,9.585897,89,0,0.673293,24,2021-08-05 21:53:08
156,-3.935037,-38.722191,Parado,9.714772,87,0,2.194894,24,2021-08-05 21:53:13
157,-3.935034,-38.722218,Parado,9.948448,89,0,1.4413,24,2021-08-05 21:53:19
158,-3.935039,-38.722244,Parado,9.595142,88,0,2.524334,24,2021-08-05 21:53:28
159,-3.935048,-38.722195,Parado,9.433906,88,0,1.052149,24,2021-08-05 21:56:22
160,-3.93505,-38.722195,Parado,9.544034,87,0,0.455039,24,2021-08-05 21:56:25
161,-3.935043,-38.722206,Parado,9.823126,89,0,0.471511,24,2021-08-05 21:56:39
162,-3.935026,-38.722191,Parado,9.634907,87,0,1.134509,24,2021-08-05 21:56:44
