latitude,longitude,status,angle,fuel,weight,velocity,imei,date_created
-3.944077,-38.718796,Descarregando,4.598053,40,-1,0.148248,25,2021-08-18 06:32:16
-3.944066,-38.718803,Descarregando,4.574839,49,-1,0.67947,25,2021-08-18 06:32:22
-3.944091,-38.718868,Descarregando,4.525728,54,-1,0.422095,25,2021-08-18 06:32:27
-3.944098,-38.71888,Descarregando,4.608159,57,-1,0.137953,25,2021-08-18 06:32:32
-3.944099,-38.71888,Descarregando,4.761569,59,-1,0.487983,25,2021-08-18 06:32:37
-3.944103,-38.718884,Descarregando,4.726462,60,-1,0.360325,25,2021-08-18 06:32:42
-3.944103,-38.718884,Parado,4.752248,61,-1,0.440626,25,2021-08-18 06:32:48
-3.94411,-38.718887,Parado,4.758996,65,-1,0.660939,25,2021-08-18 06:32:53
-3.94412,-38.718906,Parado,4.793818,67,-1,0.403564,25,2021-08-18 06:32:58
-3.944128,-38.71891,Parado,4.601686,68,-1,0.504455,25,2021-08-18 06:33:03
-3.944127,-38.71891,Parado,4.762311,69,-1,0.105009,25,2021-08-18 06:33:09
-3.944126,-38.718906,Parado,4.719918,69,-1,0.047357,25,2021-08-18 06:33:14
-3.944124,-38.718906,Parado,4.520452,69,-1,0.228549,25,2021-08-18 06:33:19
-3.944121,-38.718906,Parado,4.747204,70,-1,0.189428,25,2021-08-18 06:33:24
-3.944121,-38.718906,Parado,4.739644,70,-1,0.113245,25,2021-08-18 06:33:29
-3.944121,-38.71891,Parado,4.64741,70,-1,0.135894,25,2021-08-18 06:33:35
-3.944121,-38.718914,Parado,4.570552,69,-1,0.125599,25,2021-08-18 06:33:40
-3.94412,-38.718914,Parado,4.818177,70,-1,0.199723,25,2021-08-18 06:33:45
-3.944121,-38.718918,Parado,4.815564,70,-1,0.160602,25,2021-08-18 06:33:50
-3.94412,-38.718922,Parado,4.570536,70,-1,0.067947,25,2021-08-18 06:33:55
-3.944119,-38.718922,Parado,4.521618,70,-1,0.156484,25,2021-08-18 06:34:01
-3.944118,-38.718922,Parado,4.690266,70,-1,0.08236,25,2021-08-18 06:34:06
-3.944115,-38.718925,Parado,4.698555,70,-1,0.059711,25,2021-08-18 06:34:11
-3.944115,-38.718925,Parado,4.721076,69,-1,0.105009,25,2021-08-18 06:34:16
-3.944113,-38.718925,Parado,4.88856,69,-1,0.341794,25,2021-08-18 06:34:21
-3.944114,-38.718922,Parado,4.62735,70,-1,0.084419,25,2021-08-18 06:34:27
-3.944114,-38.718922,Parado,4.619851,70,-1,0.059711,25,2021-08-18 06:34:32
-3.944113,-38.718918,Parado,4.713256,70,-1,0.086478,25,2021-08-18 06:34:37
-3.944113,-38.718918,Parado,4.713256,70,-1,0.086478,25,2021-08-18 06:34:37
-3.94411,-38.718914,Parado,4.506791,70,-1,0.203841,25,2021-08-18 06:34:42
-3.944111,-38.718914,Parado,4.701391,70,-1,0.067947,25,2021-08-18 06:34:47
-3.944107,-38.71891,Parado,4.761713,70,-1,0.187369,25,2021-08-18 06:34:53
-3.944104,-38.718906,Parado,4.883968,70,-1,0.045298,25,2021-08-18 06:34:58
-3.944104,-38.718906,Parado,4.800315,70,-1,0.187369,25,2021-08-18 06:35:03
-3.944103,-38.718899,Parado,4.671999,70,-1,0.078242,25,2021-08-18 06:35:08
-3.944108,-38.718899,Parado,4.696327,70,-1,0.121481,25,2021-08-18 06:35:13
-3.944111,-38.718899,Parado,4.774078,70,-1,0.121481,25,2021-08-18 06:35:19
-3.944113,-38.718906,Parado,4.72667,70,-1,0.135894,25,2021-08-18 06:35:24
-3.944115,-38.718906,Parado,4.611739,70,-1,0.107068,25,2021-08-18 06:35:29
-3.944117,-38.718899,Parado,4.678928,70,-1,0.037062,25,2021-08-18 06:35:34
-3.944115,-38.718906,Parado,4.659491,70,-1,0.08236,25,2021-08-18 06:35:39
-3.944115,-38.718906,Parado,4.682078,70,-1,0.096773,25,2021-08-18 06:35:45
-3.944116,-38.718906,Parado,4.517648,70,-1,0.072065,25,2021-08-18 06:35:50
-3.944116,-38.718906,Parado,4.836918,70,-1,0.109127,25,2021-08-18 06:35:55
-3.944119,-38.718906,Parado,4.75193,70,-1,0.04118,25,2021-08-18 06:36:00
-3.944117,-38.718906,Parado,4.502147,70,-1,0.076183,25,2021-08-18 06:36:05
-3.944116,-38.718906,Parado,4.491703,70,-1,0.098832,25,2021-08-18 06:36:11
-3.944115,-38.718899,Parado,4.78628,70,-1,0.06177,25,2021-08-18 06:36:16
-3.944116,-38.718899,Parado,4.763115,70,-1,0.088537,25,2021-08-18 06:36:21
-3.944112,-38.718899,Parado,4.628923,71,-1,0.051475,25,2021-08-18 06:36:26
-3.94411,-38.718899,Parado,4.839701,71,-1,0.117363,25,2021-08-18 06:36:31
-3.94411,-38.718899,Parado,4.543827,70,-1,0.055593,25,2021-08-18 06:36:37
-3.944108,-38.718899,Parado,4.257843,70,-1,0.368561,25,2021-08-18 06:36:42
-3.944112,-38.718899,Parado,5.075014,70,-1,0.177074,25,2021-08-18 06:36:47
-3.944107,-38.718906,Parado,4.73429,70,-1,0.827718,25,2021-08-18 06:36:52
-3.944108,-38.71891,Parado,4.589644,70,-1,0.465334,25,2021-08-18 06:36:57
-3.944116,-38.71891,Parado,4.663161,70,-1,0.998615,25,2021-08-18 06:37:03
-3.944117,-38.718906,Parado,4.776564,70,-1,0.838013,25,2021-08-18 06:37:08
-3.944143,-38.718937,Parado,4.202187,70,-1,2.310198,25,2021-08-18 06:37:13
-3.944143,-38.718937,Parado,4.202187,70,-1,2.310198,25,2021-08-18 06:37:13
-3.944165,-38.718948,Parado,8.299706,70,-1,2.775532,25,2021-08-18 06:37:18
-3.944158,-38.718956,Parado,7.891399,69,-1,2.145478,25,2021-08-18 06:37:23
-3.944162,-38.718971,Parado,6.683676,69,-1,1.249813,25,2021-08-18 06:37:29
-3.944154,-38.718945,Parado,8.224848,69,-1,3.277928,25,2021-08-18 06:37:34
-3.944157,-38.718918,Parado,7.13077,70,-1,2.598458,25,2021-08-18 06:37:39
-3.944173,-38.718895,Parado,7.303548,69,-1,1.859277,25,2021-08-18 06:37:44
-3.944172,-38.718914,Parado,7.195094,69,-1,1.498952,25,2021-08-18 06:37:49
-3.94415,-38.718918,Parado,6.929223,69,-1,0.166779,25,2021-08-18 06:37:55
-3.944145,-38.718914,Parado,7.067965,69,-1,0.109127,25,2021-08-18 06:38:00
-3.944141,-38.71891,Parado,7.246346,70,-1,0.193546,25,2021-08-18 06:38:05
-3.944137,-38.718899,Parado,7.511618,73,-1,0.022649,25,2021-08-18 06:38:10
-3.944135,-38.718906,Parado,7.037008,72,-1,0.300614,25,2021-08-18 06:38:15
-3.944134,-38.718906,Parado,6.977041,71,-1,0.422095,25,2021-08-18 06:38:21
-3.944137,-38.718925,Parado,7.635935,73,-1,1.719265,25,2021-08-18 06:38:26
-3.944155,-38.71891,Movimento,3.82065,71,-1,6.006103,25,2021-08-18 06:38:31
-3.944226,-38.718906,Movimento,7.702662,72,-1,5.001311,25,2021-08-18 06:38:36
-3.944227,-38.718929,Parado,7.055496,73,-1,3.531185,25,2021-08-18 06:38:41
-3.944172,-38.718922,Movimento,5.910943,72,-1,7.500937,25,2021-08-18 06:38:52
-3.944132,-38.718914,Parado,5.56636,72,-1,4.896302,25,2021-08-18 06:38:57
-3.944115,-38.718899,Parado,-6.064979,72,-1,2.421384,25,2021-08-18 06:39:02
-3.944133,-38.718895,Parado,-6.425624,72,-1,0.92655,25,2021-08-18 06:39:07
-3.944151,-38.718899,Parado,-6.331493,73,-1,1.303347,25,2021-08-18 06:39:13
-3.944172,-38.718922,Parado,-6.171022,73,-1,0.893606,25,2021-08-18 06:39:18
-3.944165,-38.718918,Parado,-6.301598,73,-1,0.708296,25,2021-08-18 06:39:23
-3.944164,-38.718937,Parado,-6.276447,73,-1,2.299903,25,2021-08-18 06:39:28
-3.944133,-38.718922,Parado,-6.333749,74,-1,1.319819,25,2021-08-18 06:39:33
-3.944144,-38.718948,Parado,-6.429698,74,-1,2.651992,25,2021-08-18 06:39:39
-3.944144,-38.718948,Parado,-6.429698,74,-1,2.651992,25,2021-08-18 06:39:39
-3.944169,-38.718952,Parado,-6.421656,74,-1,2.021938,25,2021-08-18 06:39:44
-3.944214,-38.718983,Parado,-6.391317,74,-1,3.963575,25,2021-08-18 06:39:49
-3.944228,-38.718979,Parado,-6.323818,73,-1,2.921721,25,2021-08-18 06:39:54
-3.944201,-38.718971,Parado,-6.234299,73,-1,0.875075,25,2021-08-18 06:40:00
-3.944189,-38.718967,Parado,-5.410109,74,-1,0.899783,25,2021-08-18 06:40:05
-3.944138,-38.718945,Parado,4.288554,73,-1,2.225779,25,2021-08-18 06:40:10
-3.944131,-38.718945,Parado,7.11461,72,-1,0.199723,25,2021-08-18 06:40:15
-3.944161,-38.718956,Parado,6.191637,72,-1,2.670523,25,2021-08-18 06:40:20
-3.944179,-38.718952,Parado,6.043815,72,-1,1.196279,25,2021-08-18 06:40:26
-3.944185,-38.718952,Parado,6.067799,73,-1,0.665057,25,2021-08-18 06:40:31
-3.944157,-38.718933,Parado,5.94289,76,-1,0.765948,25,2021-08-18 06:40:36
-3.944153,-38.718937,Parado,5.873697,75,-1,0.424154,25,2021-08-18 06:40:41
-3.944135,-38.718925,Parado,5.996524,74,-1,1.041854,25,2021-08-18 06:40:46
-3.944148,-38.718922,Parado,6.201235,73,-1,1.772799,25,2021-08-18 06:40:52
-3.944131,-38.718914,Parado,6.3485,73,-1,1.301288,25,2021-08-18 06:40:57
-3.944125,-38.718922,Parado,5.408398,76,-1,0.590933,25,2021-08-18 06:41:02
-3.944138,-38.718975,Movimento,5.732771,77,-1,5.365754,25,2021-08-18 06:41:07
-3.944203,-38.71909,Movimento,8.086665,78,-1,8.779576,25,2021-08-18 06:41:12
-3.944228,-38.719139,Movimento,-6.420776,76,-1,6.648511,25,2021-08-18 06:41:18
-3.944263,-38.719242,Movimento,6.935472,75,-1,6.858529,25,2021-08-18 06:41:23
-3.944336,-38.719284,Movimento,7.214714,73,-1,6.889414,25,2021-08-18 06:41:28
-3.944457,-38.719189,Movimento,-6.025158,73,-1,12.586667,25,2021-08-18 06:41:33
-3.944533,-38.719063,Movimento,-7.811067,73,-1,15.115119,25,2021-08-18 06:41:38
-3.944624,-38.718857,Movimento,-6.980177,74,-1,17.272951,25,2021-08-18 06:41:44
-3.944678,-38.718693,Movimento,-6.493559,74,-1,16.846739,25,2021-08-18 06:41:49
-3.944731,-38.718487,Movimento,6.766109,73,-1,17.40061,25,2021-08-18 06:41:54
-3.944737,-38.71833,Movimento,5.355733,72,-1,15.961368,25,2021-08-18 06:41:59
-3.944789,-38.718166,Movimento,5.527386,72,-1,14.851566,25,2021-08-18 06:42:04
-3.944856,-38.717991,Movimento,6.823007,71,-1,12.345763,25,2021-08-18 06:42:10
-3.944915,-38.717892,Movimento,-7.674637,72,-1,11.013591,25,2021-08-18 06:42:15
-3.944915,-38.717892,Movimento,-7.674637,72,-1,11.013591,25,2021-08-18 06:42:15
-3.944996,-38.717793,Movimento,-9.083638,73,-1,10.245584,25,2021-08-18 06:42:20
-3.94507,-38.717667,Movimento,-9.914905,74,-1,13.42468,25,2021-08-18 06:42:25
-3.945163,-38.717514,Movimento,-8.894344,74,-1,13.105535,25,2021-08-18 06:42:30
-3.945173,-38.71743,Movimento,-11.415599,74,-1,9.829666,25,2021-08-18 06:42:36
-3.945177,-38.717342,Movimento,-11.161763,73,-1,6.047283,25,2021-08-18 06:42:41
-3.945172,-38.717278,Movimento,-11.821095,73,-1,6.481732,25,2021-08-18 06:42:46
-3.945174,-38.717171,Movimento,-5.859778,74,-1,7.809787,25,2021-08-18 06:42:51
-3.945151,-38.717091,Movimento,-5.514977,73,-1,8.715747,25,2021-08-18 06:42:57
-3.945088,-38.716946,Movimento,-3.681081,72,-1,14.194746,25,2021-08-18 06:43:02
-3.944981,-38.716724,Movimento,-4.598216,73,-1,18.559826,25,2021-08-18 06:43:07
-3.944909,-38.716545,Movimento,-4.52498,72,-1,17.688868,25,2021-08-18 06:43:12
-3.944822,-38.716354,Movimento,-9.104988,72,-1,14.96893,25,2021-08-18 06:43:17
-3.94478,-38.716286,Movimento,5.137016,72,-1,8.917529,25,2021-08-18 06:43:23
-3.944786,-38.716286,Parado,4.761376,72,-1,0.984202,25,2021-08-18 06:43:28
-3.944787,-38.716282,Parado,-5.948662,71,-1,0.677411,25,2021-08-18 06:43:33
-3.944779,-38.71629,Parado,5.021976,72,-1,1.013028,25,2021-08-18 06:43:38
-3.944779,-38.716286,Parado,5.10329,72,-1,0.994497,25,2021-08-18 06:43:43
-3.944779,-38.71629,Parado,4.267073,71,-1,0.284142,25,2021-08-18 06:43:49
-3.944776,-38.716286,Parado,5.079972,72,-1,1.006851,25,2021-08-18 06:43:54
-3.944767,-38.716255,Parado,5.661572,72,-1,3.675315,25,2021-08-18 06:43:59
-3.944738,-38.716148,Movimento,5.104465,71,-1,8.207174,25,2021-08-18 06:44:04
-3.94473,-38.716057,Movimento,9.513278,72,-1,8.369835,25,2021-08-18 06:44:09
-3.944719,-38.715984,Parado,9.578981,72,-1,4.068584,25,2021-08-18 06:44:15
-3.944724,-38.715992,Parado,9.261476,71,-1,0.698001,25,2021-08-18 06:44:20
-3.944758,-38.71603,Parado,8.828894,71,-1,4.198301,25,2021-08-18 06:44:25
-3.944771,-38.71603,Parado,8.607777,71,-1,1.746032,25,2021-08-18 06:44:30
-3.94477,-38.71603,Parado,8.710658,71,-1,0.395328,25,2021-08-18 06:44:35
-3.944772,-38.716038,Parado,9.044556,72,-1,0.337676,25,2021-08-18 06:44:41
-3.944761,-38.71603,Parado,8.699869,72,-1,0.06177,25,2021-08-18 06:44:46
-3.944763,-38.716045,Parado,8.251841,72,-1,0.238844,25,2021-08-18 06:44:51
-3.944763,-38.716045,Parado,8.251841,72,-1,0.238844,25,2021-08-18 06:44:51
-3.944759,-38.716053,Parado,8.429249,72,-1,0.203841,25,2021-08-18 06:44:56
-3.944743,-38.716045,Parado,8.749291,72,-1,0.055593,25,2021-08-18 06:45:01
-3.944726,-38.71603,Parado,8.712104,72,-1,0.084419,25,2021-08-18 06:45:12
-3.944718,-38.716022,Parado,8.388021,72,-1,0.815364,25,2021-08-18 06:45:17
-3.944706,-38.716015,Parado,8.443069,71,-1,0.152366,25,2021-08-18 06:45:22
-3.944701,-38.716011,Parado,8.970409,71,-1,0.181192,25,2021-08-18 06:45:27
-3.944696,-38.716007,Parado,8.365669,71,-1,0.300614,25,2021-08-18 06:45:33
-3.944708,-38.716015,Parado,8.567779,71,-1,1.451595,25,2021-08-18 06:45:38
-3.944716,-38.71603,Parado,8.634073,72,-1,0.681529,25,2021-08-18 06:45:43
-3.944714,-38.716022,Parado,8.317121,72,-1,0.088537,25,2021-08-18 06:45:48
-3.944714,-38.716015,Parado,8.745266,72,-1,0.257375,25,2021-08-18 06:45:53
-3.944703,-38.716011,Parado,8.617886,72,-1,1.52366,25,2021-08-18 06:45:59
-3.94469,-38.716011,Parado,8.712772,72,-1,1.093329,25,2021-08-18 06:46:04
-3.944679,-38.715954,Movimento,8.880337,71,-1,6.288186,25,2021-08-18 06:46:09
-3.944667,-38.715881,Movimento,7.532894,71,-1,7.853026,25,2021-08-18 06:46:14
-3.944633,-38.715763,Movimento,3.326267,70,-1,10.492664,25,2021-08-18 06:46:20
